13:10:01.012514 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:03.010541 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:05.010113 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:07.009801 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:09.088448 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:11.089352 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:13.089675 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:15.089692 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:17.089486 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:19.089186 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:21.089588 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:23.089399 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:25.089551 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:27.091880 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:29.089450 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:31.093556 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:33.093897 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:35.093361 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
13:10:37.097584 STP 802.1d, Config, Flags [none], bridge-id 8038.00:57:d2:bb:ab:00.8015, length 43
